#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
DroidSans10pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS1,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,10,SansSerif,10,PLAIN
DroidSans12pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS2,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,12,SansSerif,12,PLAIN
DroidSans14pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS5,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,14,SansSerif,14,PLAIN
DroidSans18pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS3,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,18,SansSerif,18,PLAIN
DroidSans24pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS4,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,24,SansSerif,24,PLAIN
DroidSans36pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS6,GSLC_FONTREF_FNAME,FONT_DROID_SANS1,36,SansSerif,36,PLAIN
DroidSans-Bold10pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB1,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,10,SansSerif,10,BOLD
DroidSans-Bold12pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB2,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,12,SansSerif,12,BOLD
DroidSans-Bold18pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB3,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,18,SansSerif,18,BOLD
DroidSans-Bold24pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB4,GSLC_FONTREF_FNAME,FONT_DROID_SANS2,24,SansSerif,24,BOLD
DroidSerif-Regular10pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Regular.ttf,E_DROID_SERIF1,GSLC_FONTREF_FNAME,FONT_DROID_SERIF1,10,Serif,10,PLAIN
DroidSerif-Regular12pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Regular.ttf,E_DROID_SERIF2,GSLC_FONTREF_FNAME,FONT_DROID_SERIF1,12,Serif,12,PLAIN
DroidSerif-Regular18pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Regular.ttf,E_DROID_SERIF3,GSLC_FONTREF_FNAME,FONT_DROID_SERIF1,18,Serif,18,PLAIN
DroidSerif-Regular24pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Regular.ttf,E_DROID_SERIF4,GSLC_FONTREF_FNAME,FONT_DROID_SERIF1,24,Serif,24,PLAIN
DroidSerif-Bold10pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB1,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,10,Serif,10,BOLD
DroidSerif-Bold12pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB2,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,12,Serif,12,BOLD
DroidSerif-Bold18pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB3,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,18,Serif,18,BOLD
DroidSerif-Bold24pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB4,GSLC_FONTREF_FNAME,FONT_DROID_SERIF2,24,Serif,24,BOLD
DroidSerif-Italic10pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI1,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,10,Serif,10,ITALIC
DroidSerif-Italic12pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI2,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,12,Serif,12,ITALIC
DroidSerif-Italic18pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI3,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,18,Serif,18,ITALIC
DroidSerif-Italic24pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI4,GSLC_FONTREF_FNAME,FONT_DROID_SERIF3,24,Serif,24,ITALIC
DroidSansMono10pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO1,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,10,Monospaced,10,PLAIN
DroidSansMono12pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO2,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,12,Monospaced,12,PLAIN
DroidSansMono18pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO3,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,18,Monospaced,18,PLAIN
DroidSansMono24pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO4,GSLC_FONTREF_FNAME,FONT_DROID_MONO1,24,Monospaced,24,PLAIN
